Data Lançamento;Documento;Conta Movimento;Operação;Valor Lançamento;Nr Cheque;Empresa;Plano de Contas;Histórico Movimento;Complemento Descrição
06/11/2025;1720305;6 - BRADESCO;Saída;6.000,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: KLEBER LUIS FURST 06/11
06/11/2025;1723191;6 - BRADESCO;Saída;31.766,43;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MORETTI SERVIÇOS ADMI 06/11
06/11/2025;1723375;6 - BRADESCO;Saída;15.783,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: EJ SOLUÇ ES MECANICAS 06/11
06/11/2025;1724246;6 - BRADESCO;Saída;23.332,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: SAIP AUTOMACAO INDUST 06/11
06/11/2025;848269;6 - BRADESCO;Saída;745,55;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PIX QR CODE DINAMICO DES: SEM PARAR INSTITUICAO 06/11
06/11/2025;1332332;6 - BRADESCO;Saída;105.618,57;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PIX QR CODE DINAMICO DES: CEF MATRIZ 06/11
06/11/2025;1432158;6 - BRADESCO;Saída;11.311,94;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PIX QR CODE DINAMICO DES: TCP - TERMINAL DE CON 06/11
06/11/2025;1432173;6 - BRADESCO;Saída;3.827,29;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PIX QR CODE DINAMICO DES: TCP - TERMINAL DE CON 06/11
07/11/2025;;6 - BRADESCO;Entrada;0,67;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36 - 1.4.02 - Despesas Financeiras;1 - RECEBIMENTO;DES: TCP - TERMINAL DE CON 06/11 TARIFA REGISTRO COBRANCA
07/11/2025;9017486;6 - BRADESCO;Saída;5,96;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36 - 1.4.02 - Despesas Financeiras;2 - FINANCEIRO;TARIFA REGISTRO COBRANCA QUANDO DO REGISTRO 00000004
07/11/2025;170;6 - BRADESCO;Saída;15.989,17;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA GUNTER METALL LTDA
07/11/2025;171;6 - BRADESCO;Saída;6.527,14;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA PAG COBRANCA NET EMPRESA
07/11/2025;172;6 - BRADESCO;Saída;916,92;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA PAG COBRANCA NET EMPRESA
07/11/2025;173;6 - BRADESCO;Saída;6.470,31;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA PAG COBRANCA NET EMPRESA
07/11/2025;174;6 - BRADESCO;Saída;6.413,47;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA PAG COBRANCA NET EMPRESA
07/11/2025;175;6 - BRADESCO;Saída;6.356,63;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA PAG COBRANCA NET EMPRESA
07/11/2025;176;6 - BRADESCO;Saída;14.894,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA PAG COBRANCA NET EMPRESA
07/11/2025;1130220;6 - BRADESCO;Saída;19.000,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: BRE-MAX ADMINISTRACAO 07/11
07/11/2025;1510264;6 - BRADESCO;Saída;5.453,07;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: LOGISTIC CO. INTERNAC 07/11
07/11/2025;1642052;6 - BRADESCO;Saída;26.738,41;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: TANIA REGINA DEBRASSI 07/11
07/11/2025;;6 - BRADESCO;Saída;40.677,76;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;Folha 4/5 TRANSFERENCIA PIX
07/11/2025;1644095;6 - BRADESCO;Saída;23.556,48;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MITO INDUSTRIA METALU 07/11
07/11/2025;1655496;6 - BRADESCO;Saída;20.866,65;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: L.M.P.METALURGICA LTD 07/11
07/11/2025;1655506;6 - BRADESCO;Saída;21.328,63;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: METAL ANJOS 07/11
07/11/2025;1657322;6 - BRADESCO;Saída;7.545,42;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: IFM ELECTRONIC LTDA 07/11
07/11/2025;1655492;6 - BRADESCO;Saída;542,40;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PIX QR CODE DINAMICO DES: ASSOCIACAO METROCARD 07/11
07/11/2025;5965103;6 - BRADESCO;Saída;801,36;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;63 - 1.4.12 - Telefonia/Fixa/Movel/Internet;2 - FINANCEIRO;CONTA DE TELEFONE INTERNET --TIM S.A.
10/11/2025;1914285;6 - BRADESCO;Entrada;10,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;6 - 00 - Transferencia entre Contas;1 - RECEBIMENTO;TRANSFERENCIA PIX REM: MACLINEA MAQUINAS E 10/11
10/11/2025;;6 - BRADESCO;Entrada;0,14;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;6 - 00 - Transferencia entre Contas;1 - RECEBIMENTO;REM: MACLINEA MAQUINAS E 10/11 TARIFA REGISTRO COBRANCA
10/11/2025;9017486;6 - BRADESCO;Saída;1,49;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36 - 1.4.02 - Despesas Financeiras;2 - FINANCEIRO;TARIFA REGISTRO COBRANCA QUANDO DO REGISTRO 00000001
10/11/2025;177;6 - BRADESCO;Saída;739,15;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA EFITRANS TRANSPORTES LTDA
10/11/2025;178;6 - BRADESCO;Saída;623,12;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA EFITRANS TRANSPORTES LTDA
10/11/2025;179;6 - BRADESCO;Saída;3.937,50;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA CONTABILIDADE FAZENDA S/S LTDA
10/11/2025;180;6 - BRADESCO;Saída;3.421,53;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA PARANA CLINICAS - PLANOS DE SAUD
10/11/2025;1815329;6 - BRADESCO;Saída;569,84;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ILEP - INDUSTRIA DE L 10/11
10/11/2025;1815344;6 - BRADESCO;Saída;664,10;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ANDRA S A ELECTRIC SO 10/11
10/11/2025;1815361;6 - BRADESCO;Saída;859,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MATERCIC MATERIAIS DE 10/11
10/11/2025;1815365;6 - BRADESCO;Saída;266,50;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: PROAUTO ELECTRIC LTDA 10/11
10/11/2025;1815386;6 - BRADESCO;Saída;2.000,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: RESIHEAT RESISTENCIAS 10/11
10/11/2025;1911479;6 - BRADESCO;Saída;10,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;6 - 00 - Transferencia entre Contas;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MACLINEA - MAQUINAS E 10/11
11/11/2025;9017486;6 - BRADESCO;Entrada;832,82;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;LIQUIDACAO DE COBRANCA VALOR DISPONIVEL
11/11/2025;1031460;6 - BRADESCO;Entrada;10.898,68;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;TRANSFERENCIA PIX REM: HANNA HADDAD & CIA LT 11/11
11/11/2025;;6 - BRADESCO;Entrada;7,61;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;REM: HANNA HADDAD & CIA LT 11/11 PAGTO ELETRON COBRANCA
11/11/2025;181;6 - BRADESCO;Saída;37.619,73;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA PROTESTO MPA 9306253
11/11/2025;1451066;6 - BRADESCO;Saída;400.000,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;6 - 00 - Transferencia entre Contas;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MACLINEA - MAQUINAS E 11/11
11/11/2025;1543487;6 - BRADESCO;Saída;12.096,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ZENIR JOSE FIOREZE 11/11
11/11/2025;1633557;6 - BRADESCO;Saída;2.277,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: PEDRO PINTO SILVA 11/11
11/11/2025;1644353;6 - BRADESCO;Saída;1.484,15;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: JEAN DE PAULA DAS NEV 11/11
11/11/2025;1644361;6 - BRADESCO;Saída;2.277,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MARIA PINTO SILVA 11/11
11/11/2025;1806587;6 - BRADESCO;Saída;162,50;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: RAYANNE CARRARA MAZIM 11/11
11/11/2025;1807000;6 - BRADESCO;Saída;455,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: M&H PRODUTOS INDUSTRI 11/11
11/11/2025;1807017;6 - BRADESCO;Saída;420,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: ROLPASA ROLAMENTOS PA 11/11
11/11/2025;1807029;6 - BRADESCO;Saída;177,80;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: TINTAS FRANCA 11/11
11/11/2025;1807034;6 - BRADESCO;Saída;100,50;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: SIDICLEI OSMAR DA SIL 11/11
12/11/2025;;6 - BRADESCO;Entrada;10,62;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;DES: SIDICLEI OSMAR DA SIL 11/11 PAGTO ELETRON COBRANCA
12/11/2025;182;6 - BRADESCO;Saída;856,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA EFITRANS TRANSPORTES LTDA
12/11/2025;183;6 - BRADESCO;Saída;124,92;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA PAG COBRANCA NET EMPRESA
12/11/2025;1441089;6 - BRADESCO;Saída;90,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: TRANSPORTES MOBILINE 12/11
12/11/2025;1446308;6 - BRADESCO;Saída;1.518,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: JOSE CANDIDO DE CARVA 12/11
12/11/2025;1446310;6 - BRADESCO;Saída;1.518,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: JOSE CANDIDO DE CARVA 12/11
12/11/2025;1452293;6 - BRADESCO;Saída;400.000,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;6 - 00 - Transferencia entre Contas;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MACLINEA - MAQUINAS E 12/11
12/11/2025;1706363;6 - BRADESCO;Saída;398,26;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: A ELETRO REYMASTER 12/11
12/11/2025;1706376;6 - BRADESCO;Saída;591,61;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: POLETO INDUSTRIA E CO 12/11
12/11/2025;;6 - BRADESCO;Saída;1.323,42;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;Folha 5/5 PIX QR CODE ESTATICO
12/11/2025;1416160;6 - BRADESCO;Saída;843,24;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PIX QR CODE ESTATICO DES: PIX Marketplace 12/11
12/11/2025;267926;6 - BRADESCO;Saída;6.512,14;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;64 - 1.4.13 - Agua;2 - FINANCEIRO;CONTA DE AGUA SANEPAR/PR-02679264
12/11/2025;1166836;6 - BRADESCO;Saída;325,29;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;64 - 1.4.13 - Agua;2 - FINANCEIRO;CONTA DE AGUA SANEPAR/PR-11668364
13/11/2025;;6 - BRADESCO;Entrada;0,75;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;64 - 1.4.13 - Agua;1 - RECEBIMENTO;SANEPAR/PR-11668364 TRANSFERENCIA PIX
13/11/2025;953436;6 - BRADESCO;Saída;21.385,44;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;6 - 00 - Transferencia entre Contas;2 - FINANCEIRO;TRANSFERENCIA PIX DES: MACLINEA - MAQUINAS E 13/11
14/11/2025;9017486;6 - BRADESCO;Entrada;222,49;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;LIQUIDACAO DE COBRANCA VALOR DISPONIVEL
14/11/2025;31125;6 - BRADESCO;Saída;223,44;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36 - 1.4.02 - Despesas Financeiras;2 - FINANCEIRO;TARIFA BANCARIA VR.PARCIAL CestaEmpresarial5
18/11/2025;9017486;6 - BRADESCO;Saída;12,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36 - 1.4.02 - Despesas Financeiras;2 - FINANCEIRO;TAR COMANDADA COBRANCA BX TIT PELO BENEFICIARIO00000002
19/11/2025;31125;6 - BRADESCO;Saída;415,26;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36 - 1.4.02 - Despesas Financeiras;2 - FINANCEIRO;TARIFA BANCARIA CESTA EMPRESARIAL 5
